q,off_passed,on_passed,off_match_type,on_match_type,off_failure_category,on_failure_category,query,expected,off_actual,on_actual
13,True,True,number_match,number_match,,,When is BatteryTech solid-state battery commercial production expected?,Q4 2027,"BatteryTech's solid-state battery commercial production is expected to begin in the fourth quarter of 2027. This timeline is part of a joint venture between Nexus Industries and Toyota Motor Corporation, which aims to leverage Nexus's solid electrolyte materials and Toyota's manufacturing expertise to bring this technology to market.","BatteryTech's solid-state battery commercial production is expected to begin in the fourth quarter of 2027. This timeline is part of a joint venture between Nexus Industries and Toyota Motor Corporation, which aims to leverage Nexus's solid electrolyte materials and Toyota's manufacturing expertise to bring this technology to market."
14,False,False,no_data,no_data,NOT_FOUND,NOT_FOUND,When was Robert Kim appointed President of Digital Solutions?,"January 2026 (effective January 15, 2026)",The appointment date was not found in the available documents.,The appointment date was not found in the available documents.
15,False,False,no_data,no_data,NOT_FOUND,NOT_FOUND,Who does Michael Chang report to?,Dr. Victoria Chen (CEO),"The retrieved information does not specify who Michael Chang reports to. It only indicates that he holds the role of CFO. Therefore, I cannot provide a definitive answer regarding his reporting structure. If you have additional context or information about the organization, I may be able to assist further.","The retrieved information does not specify who Michael Chang reports to. It only indicates that he holds the role of CFO. Therefore, we do not have enough information to determine his reporting structure."
16,True,True,exact_match,exact_match,,,What company is Nexus partnering with for solid-state batteries?,Toyota Motor Corporation,"Nexus Industries is partnering with Toyota Motor Corporation to develop solid-state batteries. They have established a joint venture named ""NextGen Battery Technologies LLC,"" which will leverage Nexus's proprietary solid electrolyte materials alongside Toyota's battery manufacturing expertise. The joint venture is structured with a 51% ownership by Nexus and 49% by Toyota, and it aims to commercialize solid-state battery technology primarily for electric vehicles, with plans to expand into grid ","Nexus Industries is partnering with Toyota Motor Corporation to develop solid-state batteries. They have established a joint venture named ""NextGen Battery Technologies LLC,"" which will leverage Nexus's proprietary solid electrolyte materials alongside Toyota's battery manufacturing expertise. The joint venture is structured with a 51% ownership by Nexus and 49% by Toyota, and it aims to commercialize solid-state battery technology primarily for electric vehicles, with plans to expand into grid "
17,False,False,no_match,no_match,MISMATCH,MISMATCH,Who supplied the electrolyzers for the GreenHydrogen facility?,Nel Hydrogen,"The electrolyzers for the GreenHydrogen facility were supplied by Honeywell, Boeing, Lockheed, and Northrop.","The electrolyzers for the GreenHydrogen facility were supplied by Honeywell, Boeing, Lockheed, and Northrop."
18,False,False,no_data,no_data,NOT_FOUND,NOT_FOUND,Which company has a green hydrogen offtake agreement with Nexus?,Shell,"The retrieved information does not specify which company has a green hydrogen offtake agreement with Nexus. It mentions various entities related to Nexus, such as Nexus Industries, Nexus Aerospace, and Nexus Advanced Materials, but there is no direct reference to a specific company involved in a green hydrogen offtake agreement. Therefore, I cannot provide the name of the company in question based on the available information.","The retrieved information does not specify which company has a green hydrogen offtake agreement with Nexus. It mentions various entities related to Nexus, such as Nexus Industries, Nexus Aerospace, and Nexus Advanced Materials, but there is no direct reference to a specific company involved in a green hydrogen offtake agreement. Therefore, I cannot provide a definitive answer regarding the company associated with that agreement."
19,True,True,component_match,component_match,,,Who is the largest aerospace customer of Nexus by relationship value?,Boeing ($730 million),"The largest aerospace customer of Nexus by relationship value is **The Boeing Company**, with a total relationship value of **$730 million** for FY2025. This includes $485 million from Nexus Aerospace and $245 million from Nexus Advanced Materials.

---
**Confidence: Medium (80%)**

**Why:** Multiple currency values found in source: ['$78M', '$71B', '$22M', '$7M', '$635M', '$812M', '$500M', '$185M', '$15M', '$1.5M', '$445M', '$65M', '$95M', '$145M', '$350M', '$545M', '$220M', '$42M', '$84M', '$1","The largest aerospace customer of Nexus by relationship value is **The Boeing Company**, with a total relationship value of **$730 million** for FY2025. This includes $485 million from Nexus Aerospace and $245 million from Nexus Advanced Materials.

---
**Confidence: Medium (80%)**

**Why:** Multiple currency values found in source: ['$78M', '$71B', '$22M', '$7M', '$635M', '$812M', '$500M', '$185M', '$15M', '$1.5M', '$445M', '$65M', '$95M', '$145M', '$350M', '$545M', '$220M', '$42M', '$84M', '$1"
20,True,True,exact_match,exact_match,,,Which supplier is rated Red and at risk?,General Atomics,The supplier rated Red and at risk is **General Atomics**.,"The supplier rated Red and at risk is **General Atomics**. They have been escalated to a Red rating due to performance issues, and actions are being taken to address these concerns."
21,True,True,exact_match,exact_match,,,Where is Nexus Industries headquartered?,"Phoenix, Arizona","Nexus Industries is headquartered in Phoenix, Arizona. The corporate headquarters is located at 1000 Innovation Drive, Phoenix, AZ 85001. This facility serves various functions, including corporate operations, research and development, and digital solutions, and it spans 650,000 square feet with a workforce of approximately 2,500 employees.

---
**Confidence: Medium (80%)**

**Why:** Multiple number values found in source: ['6.50', '25', '1,200', '12.0', '680', '1.3', '12,000', '45', '00', '40',","Nexus Industries is headquartered in Phoenix, Arizona. The corporate headquarters is located at 1000 Innovation Drive, Phoenix, AZ 85001. This facility serves various functions, including corporate operations, research and development, and digital solutions, and it employs approximately 2,500 people.

---
**Confidence: Medium (80%)**

**Why:** Multiple number values found in source: ['6.50', '25', '1,200', '12.0', '680', '1.3', '12,000', '45', '00', '40', '180', '6.20', '500', '2.02', '4', '85',"
22,True,True,component_match,component_match,,,What is the capacity of the Desert Sun Solar Farm?,450 MW (full buildout),"The capacity of the Desert Sun Solar Farm is 450 MW (megawatts) for the solar photovoltaic installation. Additionally, it includes a 200 MWh (megawatt-hour) battery storage system.

---
**Confidence: Medium (80%)**

**Why:** Multiple number values found in source: ['0.03', '0.32', '003', '45', '850,000', '002', '4', '8', '0', '100', '20', '5', '0.3', '450', '200', '1', '121', '0.30', '0.26', '18', '99.2', '250', '7,500', '2.2', '30', '212,500', '98', '50', '0.28', '0.1', '385', '1.8', '0.5', '2'","The capacity of the Desert Sun Solar Farm is 450 megawatts (MW) for the solar photovoltaic installation. Additionally, it includes a 200 megawatt-hour (MWh) battery storage system.

---
**Confidence: Medium (80%)**

**Why:** Multiple number values found in source: ['0.03', '0.32', '003', '45', '850,000', '002', '4', '8', '0', '100', '20', '5', '0.3', '450', '200', '1', '121', '0.30', '0.26', '18', '99.2', '250', '7,500', '2.2', '30', '212,500', '98', '50', '0.28', '0.1', '385', '1.8', '0.5', '2'"
23,True,True,exact_match,exact_match,,,How many qubits does the QuantumLeap system have?,127 qubits,"The QuantumLeap system has the following configurations with their respective number of qubits: 1. **QL-27**: 27 qubits
2. **QL-65**: 65 qubits
3. **QL-127**: 127 qubits Additionally, there is a mention of a custom tier for partnerships that offers ""127+"" qubits, indicating that there may be systems with more than 127 qubits available for custom arrangements.

---
**Confidence: Medium (80%)**

**Why:** Multiple number values found in source: ['4.2', '400', '4.4', '70', '4.6', '64', '99.93', '350","The QuantumLeap system has the following configurations with their respective number of qubits: 1. **QL-27**: 27 qubits
2. **QL-65**: 65 qubits
3. **QL-127**: 127 qubits Additionally, there is a mention of a custom tier for partnerships that offers ""127+"" qubits, indicating that there may be systems with more than 127 qubits available for custom arrangements.

---
**Confidence: Medium (80%)**

**Why:** Multiple number values found in source: ['4.2', '400', '4.4', '70', '4.6', '64', '99.93', '350"
24,True,True,component_match,component_match,,,What is the hydrogen production capacity of the GreenHydrogen facility?,"425 kg/hour (Phase 1) or 10,200 kg/day","The GreenHydrogen facility has a hydrogen production capacity of 850 kg per hour at full capacity. This translates to a daily production of 20,400 kg and an annual production capacity of 7.0 million kg. Currently, during Phase 1, the facility is capable of producing 425 kg per hour, which amounts to 10,200 kg per day and 3.5 million kg annually. The facility is located in El Paso, Texas, and is operational as of March 2026.

---
**Confidence: Medium (80%)**

**Why:** Multiple number values found","The GreenHydrogen facility has a hydrogen production capacity of 850 kg per hour at full capacity. This translates to a daily production of 20,400 kg and an annual production capacity of 7.0 million kg. Currently, during Phase 1, the facility is capable of producing 425 kg per hour, which amounts to 10,200 kg per day and 3.5 million kg annually. The facility is located in El Paso, Texas, and is operational as of March 2026.

---
**Confidence: Medium (80%)**

**Why:** Multiple number values found"
25,True,True,exact_match,exact_match,,,What is the target energy density for the solid-state battery?,400 Wh/kg,"The target energy density for the solid-state battery is designed to achieve 2 times the energy density compared to lithium-ion batteries. Additionally, a solid-state battery prototype is reported to achieve a performance of 400 Wh/kg. This indicates that the solid-state battery aims to significantly improve upon the current standards set by lithium-ion technology.

---
**Confidence: Medium (80%)**

**Why:** Multiple number values found in source: ['4.2', '400', '70', '4.6', '156', '00', '350', ","The target energy density for the solid-state battery is designed to achieve 2 times the energy density compared to traditional lithium-ion batteries. While the specific energy density value in watt-hours per kilogram (Wh/kg) is not explicitly stated for the target, it is noted that a solid-state battery prototype is aiming for a performance of 400 Wh/kg. Therefore, the target energy density for the solid-state battery is expected to be significantly higher than this prototype performance, align"
26,True,True,component_match,component_match,,,How many business divisions does Nexus Industries have?,"4 (Aerospace, Energy, Digital, Materials)","Nexus Industries operates through **four strategic business divisions**. These divisions are: 1. **Nexus Aerospace**
2. **Nexus Energy Systems**
3. **Nexus Digital Solutions**
4. **Nexus Advanced Materials** Each division serves distinct markets while leveraging shared capabilities in technology, manufacturing, and innovation.

---
**Confidence: Medium (80%)**

**Why:** Multiple number values found in source: ['12.3', '12.1', '4.6', '680', '20.8', '00', '500', '4.95', '19.7', '17.9', '8.8', '10.","Nexus Industries operates through **four strategic business divisions**. These divisions are: 1. **Nexus Aerospace**
2. **Nexus Energy Systems**
3. **Nexus Digital Solutions**
4. **Nexus Advanced Materials** Each division serves distinct markets while leveraging shared capabilities in technology, manufacturing, and innovation.

---
**Confidence: Medium (80%)**

**Why:** Multiple number values found in source: ['12.3', '12.1', '4.6', '680', '20.8', '00', '500', '4.95', '19.7', '17.9', '8.8', '10."
27,True,True,component_match,component_match,,,Which division has the most employees?,"Nexus Digital Solutions (3,500 employees)","Based on the retrieved information, the division with the most employees is: 1. **Nexus Digital Solutions** - 3,500 employees
2. **Nexus Aerospace** - 3,200 employees
3. **Nexus Advanced Materials** - 3,000 employees
4. **Nexus Energy Systems** - 2,800 employees Thus, the **Nexus Digital Solutions Division** has the most employees, with a total of **3,500 employees**.

---
**Confidence: Medium (80%)**

**Why:** Multiple number values found in source: ['12.3', '400', '70', '36', '680', '340', '35","Based on the retrieved information, the division with the most employees is: 1. **Nexus Digital Solutions** - 3,500 employees
2. **Nexus Aerospace** - 3,200 employees
3. **Nexus Advanced Materials** - 3,000 employees
4. **Nexus Energy Systems** - 2,800 employees Thus, the **Nexus Digital Solutions Division** has the most employees, with a total of **3,500 employees**.

---
**Confidence: Medium (80%)**

**Why:** Multiple number values found in source: ['12.3', '400', '70', '36', '680', '340', '35"
28,True,True,component_match,component_match,,,Which division has the highest revenue?,Nexus Aerospace ($2.78 billion),"The division with the highest revenue is the **Nexus Aerospace Division**, which has a total revenue of **$3.12 billion** for FY2026. This is followed by the Nexus Energy Systems Division with **$2.78 billion** and the Nexus Digital Solutions Division with **$2.18 billion**.

---
**Confidence: Medium (80%)**

**Why:** Multiple currency values found in source: ['$372M', '$0.47B', '$1.10B', '$2.22B', '$0.48B', '$225M', '$0.33B', '$185M', '$15M', '$2.08B', '$0.58B', '$1.06B', '$2.85B', '$1.20B', '$","The division with the highest revenue is the **Nexus Aerospace Division**, which has a total revenue of **$3.12 billion** for FY2026. This is followed by the Nexus Energy Systems Division with **$2.78 billion** and the Nexus Digital Solutions Division with **$2.18 billion**.

---
**Confidence: Medium (80%)**

**Why:** Multiple currency values found in source: ['$372M', '$0.47B', '$1.10B', '$2.22B', '$0.48B', '$225M', '$0.33B', '$185M', '$15M', '$2.08B', '$0.58B', '$1.06B', '$2.85B', '$1.20B', '$"
29,False,False,no_match,no_match,MISMATCH,NOT_FOUND,Who are the members of the Executive Leadership Team?,"Dr. Victoria Chen (CEO), Michael Chang (CFO), Dr. James Wilson (CTO), Lisa Thompson (GC), Maria Santos (CHRO), Robert Harrison, Dr. Sarah Park, Robert Kim, John Williams","The members of the Executive Leadership Team at Nexus Industries are: 1. **Dr. Victoria Chen** - Chief Executive Officer (CEO)
2. **Robert Martinez** - Chief Financial Officer (CFO)
3. **Dr. Aisha Patel** - Chief Technology Officer (CTO)
4. **James Wilson** - Chief Operating Officer (COO)
5. **Maria Santos** - Chief Human Resources Officer (CHRO)
6. **Michael Torres** - President, Nexus Aerospace Division
7. **Dr. Elena Rodriguez** - President, Nexus Energy Systems Division
8. **Robert Kim** - P","The members of the Executive Leadership Team at Nexus Industries are: 1. **Dr. Victoria Chen** - Chief Executive Officer (CEO)
2. **Robert Martinez** - Chief Financial Officer (CFO)
3. **Dr. Aisha Patel** - Chief Technology Officer (CTO)
4. **James Wilson** - Chief Operating Officer (COO)
5. **Maria Santos** - Chief Human Resources Officer (CHRO)
6. **Michael Torres** - President, Nexus Aerospace
7. **Dr. Elena Rodriguez** - President, Nexus Energy Systems
8. **Robert Kim** - President, Nexus Di"
30,True,True,component_match,component_match,,,What is the R&D investment as a percentage of revenue for FY2026?,11.4% ($966 million of ~$9.5-9.8 billion),"For FY2026, the R&D investment as a percentage of revenue is 11.4%. This figure is derived from a total R&D budget of $966 million, which represents this percentage of the company's revenue for that fiscal year.

---
**Confidence: Medium (80%)**

**Why:** Multiple percentage values found in source: ['22%', '6%', '40%', '13.0%', '17%', '28.3%', '5%', '19.7%', '11.5%', '15.0%', '8%', '16.0%', '10.4%', '0.5%', '22.6%', '8.6%', '19%', '11.4%', '2.1%', '3%', '21%', '55%', '100%', '42%', '4%', '14.0%'","For FY2026, the total R&D investment is projected to be **$1.05 billion**, which represents **11.4%** of the revenue target range of **$9.5 billion to $9.8 billion**. This aligns with the board's expectation to sustain R&D investment at **11% or more** of revenue.

---
**Confidence: Medium (80%)**

**Why:** Multiple percentage values found in source: ['22%', '6%', '40%', '13.0%', '17%', '28.3%', '5%', '19.7%', '11.5%', '15.0%', '8%', '16.0%', '10.4%', '0.5%', '22.6%', '8.6%', '19%', '11.4%', '2."
31,True,True,exact_match,exact_match,,,What is Nexus's ownership percentage in the Toyota battery joint venture?,51%,"Nexus Industries holds a 51% ownership stake in the joint venture with Toyota, while Toyota holds a 49% stake. This joint venture, named ""NextGen Battery Technologies LLC,"" aims to commercialize solid-state battery technology.

---
**Confidence: Medium (80%)**

**Why:** Multiple percentage values found in source: ['60%', '40%', '51%', '95%', '80%', '70%', '10%', '98%', '45%', '3%', '2%', '1%', '55%', '75%', '90%', '100%', '50%', '99.97%', '65%', '54%', '99.9%', '15%', '20%', '35%', '85%', '49%']","Nexus Industries holds a 51% ownership stake in the joint venture with Toyota, while Toyota holds a 49% stake. This joint venture, named ""NextGen Battery Technologies LLC,"" aims to commercialize solid-state battery technology.

---
**Confidence: Medium (80%)**

**Why:** Multiple percentage values found in source: ['60%', '40%', '51%', '95%', '80%', '70%', '10%', '98%', '45%', '3%', '2%', '1%', '55%', '75%', '90%', '100%', '50%', '99.97%', '65%', '54%', '99.9%', '15%', '20%', '35%', '85%', '49%']"
32,True,True,exact_match,exact_match,,,Who will be the CEO of the Toyota JV (NextGen Battery Technologies)?,Dr. Robert Martinez,"Dr. Robert Martinez, currently Nexus's BatteryTech Program Director, has been named the CEO of NextGen Battery Technologies, the joint venture with Toyota. Hiroshi Tanaka, Toyota's EVP of Battery Technology, will serve as COO. ---
**Confidence: High (90%)** **Why:** This information is confirmed in multiple authoritative sources detailing the joint venture's leadership structure.","Dr. Robert Martinez, currently Nexus's BatteryTech Program Director, has been named the CEO of NextGen Battery Technologies, the joint venture with Toyota. Hiroshi Tanaka, Toyota's EVP of Battery Technology, will serve as COO. ---
**Confidence: High (90%)** **Why:** This information is sourced from an official announcement regarding the joint venture, detailing the leadership appointments."
33,True,True,number_match,number_match,,,How much hydrogen will Shell purchase annually under the offtake agreement?,"Minimum 300,000 kg/year initially, ramping to 2.5M kg/year by Year 3","Under the offtake agreement, Shell will purchase **15 tonnes of hydrogen per day**. This translates to an **annual volume of 5,475 tonnes** of hydrogen. The agreement is set for a term of **15 years**, from 2028 to 2043.

---
**Confidence: Medium (80%)**

**Why:** Multiple number values found in source: ['25', '70', '5.71', '45', '350', '5.17', '002', '300,000', '4', '8', '0', '100', '20', '5', '16,400', '80', '1', '5,475', '31', '4.68', '10', '4.50', '6.00', '0.0', '14', '18', '15', '24', '30',","Under the offtake agreement, Shell will purchase **15 tonnes of hydrogen per day**. This translates to an **annual volume of 5,475 tonnes** of hydrogen. The agreement is set for a term of **15 years**, from 2028 to 2043.

---
**Confidence: Medium (80%)**

**Why:** Multiple number values found in source: ['25', '70', '5.71', '45', '350', '5.17', '002', '300,000', '4', '8', '0', '100', '20', '5', '16,400', '80', '1', '5,475', '31', '4.68', '10', '4.50', '6.00', '0.0', '14', '18', '15', '24', '30',"
34,True,True,number_match,number_match,,,Which project has the largest budget?,Orbital Satellite Constellation ($680 million),"The project with the largest budget is the **Orbital Constellation**, which has a total budget of **$680 million**. This is followed by the **Desert Sun Solar Farm** with a budget of **$385 million** and the **GreenHydrogen Initiative** with a budget of **$225 million**. In summary, the ranking of the projects by budget is as follows:
1. **Orbital Constellation**: $680M
2. **Desert Sun Solar Farm**: $385M
3. **GreenHydrogen Initiative**: $225M Thus, the **Orbital Constellation** project has the ","The project with the largest budget is the **Orbital Constellation**, which has a total budget of **$680 million**. This is followed by the **Desert Sun Solar Farm** with a budget of **$385 million** and the **GreenHydrogen Initiative** with a budget of **$225 million**. In summary, the ranking of the projects by budget is as follows:
1. **Orbital Constellation**: $680M
2. **Desert Sun Solar Farm**: $385M
3. **GreenHydrogen Initiative**: $225M Thus, the **Orbital Constellation** project has the "
35,True,True,component_match,component_match,,,Which division had the highest revenue growth in FY2025?,Nexus Energy Systems (22.1% growth),"The division with the highest revenue growth in FY2025 was the **Nexus Digital Solutions Division**, which achieved a growth rate of **17.4%**. This division generated a revenue of **$1.82 billion** in FY2025. In comparison, the other divisions had the following growth rates:
- Nexus Aerospace: +8.8%
- Nexus Energy Systems: +12.6%
- Nexus Advanced Materials: +4.6% Thus, Nexus Digital Solutions led in revenue growth among all divisions for that fiscal year.

---
**Confidence: Medium (80%)**

**Wh","The division with the highest revenue growth in FY2025 was the **Nexus Digital Solutions Division**, which achieved a growth rate of **17.4%**. This was followed by the Nexus Energy Systems Division with a growth rate of **12.6%**, and the Nexus Aerospace Division with a growth rate of **8.8%**. The Nexus Advanced Materials Division had the lowest growth at **4.6%**.

---
**Confidence: Medium (80%)**

**Why:** Multiple percentage values found in source: ['22.5%', '22%', '10.6%', '6%', '13.0%', '"
36,True,True,number_match,number_match,,,Which division has the highest safety incident rate (TRIR)?,Nexus Advanced Materials (1.24 TRIR),"The division with the highest safety incident rate (Total Recordable Incident Rate, TRIR) is the **Materials Division**, which has a TRIR of **1.24**. This division continues to be a concern due to its high incident rate compared to other divisions.

---
**Confidence: Medium (80%)**

**Why:** Multiple number values found in source: ['0.08', '680', '042', '98.5', '0.78', '0.12', '425', '2,000', '1', '960', '825', '10', '200,000', '26', '12,800', '2', '198,000', '0.82', '72', '2,450', '25', '0.24'","The division with the highest safety incident rate (Total Recordable Incident Rate, TRIR) is the **Materials Division**, which has a TRIR of **1.24**. This division continues to be a concern due to its high incident rate compared to other divisions.

---
**Confidence: Medium (80%)**

**Why:** Multiple number values found in source: ['0.08', '680', '042', '98.5', '0.78', '0.12', '425', '2,000', '1', '960', '825', '10', '200,000', '26', '12,800', '2', '198,000', '0.82', '72', '2,450', '25', '0.24'"
37,False,False,no_data,no_data,NOT_FOUND,NOT_FOUND,Who is the Project Director for the GreenHydrogen Initiative?,Jennifer Walsh,"The retrieved information does not specify who the Project Director for the GreenHydrogen Initiative is. It provides details about the project, such as its construction progress, location, first hydrogen production target, offtake agreement value, and a partner (Shell), but it does not mention any individuals or their roles. Therefore, I cannot provide the name of the Project Director based on the available information.","The retrieved information does not specify who the Project Director for the GreenHydrogen Initiative is. It provides details about the project, such as its construction progress, location, first hydrogen production target, offtake agreement value, and a partner (Shell), but it does not mention any individuals or their roles. Therefore, I cannot provide the name of the Project Director."
